Autorius,Pavadinimas,Metai,Kodas
,,,
Icchokas Meras,Lygiosios trunka akimirką,,
dr. Mary Pipher,Prikelti ofeliją,2007,
,,,
J.R.R. Tolkien,Hobitas arba ten ir atgal,2020,
Antuanas de Sent Egziuperi,Mažasis princas,1982,
Rytis Zemkauskas,Žvėris kalbasi su virėju Vasiliausku apie Laimę,2022,
,Miško ABC,,
Knister,Ragana Lilė Drakulos pilyje 11,2008,
Silvana De Mari,Paskutiniai užkeikimai I knyga,2017,9786094414237
Živilė Buinevičiūtė,Vidinis lobis,2018,
Astrida Lindgren,"Mažylis ir Karlsonas, kuris gyvena ant stogo",2017,
Alvilė Rimaitė,"Kliukliukas arba keletas istorijų, nutikusių vienam gauruočiui",2008,
Silvana de Mari,Paskutinis Orkas 1 knyga,2015,
,Senelio sala,,
Richard Bach,Iliuzijos,2000,99868925371
Richard Bach,Džonatanas Livingstonas Žuvėdra,2000,9986925347
Richard Bach,Džonatanas Livingstonas Žuvėdra,2019,
,Smagūs bandymai vaikams,,
Edmondas de Amičis,Širdis,1989,
Pamela Butchart,"Šnipė, kuriai patiko mokyklos pietūs",2019,
Vincas Mykolaitis Putinas,Altorių šešėly,2023,
Rūta Šepetys,Tarp pilkų debesų,2022,
Holly Webb,Mažoji kalytė Brita,2011,9786090110928
Vytautė Žilinskaitė,Kelionė į Tandadriką,1984,
Peter Freund,Laura ir Aventeros paslaptis,2003,
Sarah Addison Allen,Saldumynų karalienė,2009,
Rob Scotton,Katinėlis Juodis,2016,
,Kalėdų stebuklas,,
Oscar Wilde,Doriano Grėjaus portretas,2023,
,Poetinė Eda,,
,Germanų ir baltų sakmės ir legendos,,
,Viduramžių miestai,,
Onorė Balzakas,Tėvas Gorijo,1984,
Laura Sintija Černiauskaitė,Benedikto slenksčiai,2020,
,Biologija. Prieš egzaminą,,
Mo O“Hara,Mano didelė riebi auksinė žuvelė Zombis. Nuotykiai jūroje,2015,
Vytautas V. Landsbergis,Kaip pelytė Zita žmogumi pavirto,2014,
,Senovės skandinavų mitologija,,
Silvana De Mari,Paskutiniai užkeikimai III knyga. Karaliaus sugrįžimas,2018,
Ana Frank,Dienoraštis,2015,
David Almond,Dangaus akys,2018,
Lois Lowry,Siuntėjas,2014,
Melvin Burgess,Heroinas,2022,
,Riterių etosas ir idealai,,
,Gedimino krikštas,,
,Lietuvos karaliai,,
,Senųjų Lietuvos kunigaikščių portretai,,
Kelly Barnhill,Raganos sūnus,2017,
Kazys Boruta,Mediniai stebuklai. Baltaragio malūnas,1979,
,Mergaitė iš Visatos,,
Silvana De Mari,Paskutiniai užkeikimai II knyga,2017,
Frensis Bernet,Fontlerojus. Sara,1995,
William Saroyan,"Tėti, tu keistuolis",2015,
Vincas Mykolaitis Putinas,Altorių šešėly,2023,
,Lietuvių liaudies pasakos ,,
,"Paauglių grupės užkulisiai. ,,Juoda avis“",,
Mark Twain,Tomo Sojerio nuotykiai,2021,
Knister,Ragana Lilė ir keblus Hektoro egzaminas 20,2006,
Knister,Ragana Lilė ir nugrimzdusio pasaulio paslaptis 9,2006,
Mark Twain,Tomo Sojerio nuotykiai,2021,
William Golding,Musių valdovas,2023,
