Autorius,Pavadinimas,Metai,Kodas
Gaja Guna Eklė,"Brolis, kurio nereikėjo",2016,9786098161151
Bronė Buivydaitė,Grybautojas,2005,543003942x
,Kakės Makės elementorius,2018,97786090133521
Selemonas Paltanavičius,Gamtos metų ratas,2017,9786094414152
,Kakės Makės enciklopedija. Gyvūnai,2018,9786090122259
Jeronimas Laucius,Tavo sėkmės kelias,2017,9786094310119
,Vėliavų atlasas,2017,9786094401497
Helen Peters,Kumeliukas vardu Smarkuolis,2023,9786090154625
Holly Webb,Pirmosios šuniuko Kalėdos,2025,9786090148303
"E.Giordano, T.Lasconi, G.Boscato",Tėvai spuogai ir kiti paauglystės rūpesčiai,2016,9789955293279
Astrid Lindgren,Mes Varnų saloje,,9789955883654
Feliksas Zaltenas,Bembis. Bembio vaikai,1983,
Ulf Stark,Murkšlinas ir Turkšlinas,2007,9789955683179
Timo Parvela,Elė Laplandijoje,2017,9786094414718
Timo Parvela,Elė ir pašėlusi klasė,2014,9786094412479
Timo Parvela,Elė ir roko žvaigždė,2020,9786094416125
Timo Parvela,Elė ir draugai,2013,9786094411724
Oldrich Syrovatka,Linksmos pasakos iš rankovės,2007,9785415019731
David Almond,Mano tėtis Skrajūnas,2013,9786094411502
Terry Pratchett,Netikra Kalėdų Senelio barzda,2023,9786090157091
Eleonor Farjeon,Mažoji siuvėja,2008,9789955683650
Eleonor Farjeon,Septintoji proncesė,2008,9789955683629
Roald Dahl,Denis pasaulio čempionas,1998,9986835046
Daiva Vaitkevičiūtė,Marius Pietaris ir Burtų knyga,2004,9986004071
Lidija Montė,Nuostabūs Magio nuotykiai,2009,9789955542834
Lucy Maud Montgomery,Anė iš Žaliastogių,2016,9786090110416
Bruno Ferrero,Geros ir gražios istorijos mokyklai ir katechezei,2003,9986042038
Felix Salten,Bembis. Miško gyvenimo istorija,2023,9786090155653
Ilona Ežerinytė,Skiriama Rivai (3-3),2024,9786098227055
Michael Bond,Pedingtonas skuba į pagalbą,2022,9786090150757
Michael Bond,Ir vėl meškiukas Pedingtonas,2022,9786090149089
Michael Bond,Pedingtonas drumsčia ramybę,2023,9786090154618
Selemonas Paltanavičius,"Labas, kaip gyveni?",2010,9789955683889
"Margarita Purlienė, Inga ViltrakienėPrieš egzaminą 10 žingsnių.  BIOLOGIJA",,2017,9785430065614
David McCullough,Broliai Wrightai,2024,9786090161654
Irena Stulpinienė,Fizika širdimi,2018,9789986370840
Lucy Worsley,Agatha Christie. Visus suklaidinusi moteris,2025,9786094942129
Katherine Ashenburg,Nešvari švaros istorija,2025,9786094668739
Michael Ende,Momo,2023,9786090155189
Adam Kay,Deksteris Proksteris,2023,9786090165379
Rob Scotton,Slaptasis agentas Juodis,2025,9786094419249
,Katinėlis ir gaidelis,2013,4770698491225
,Katinėlis ir gaidelis,,9786098129045
Giedrė Norkūnė,Meškutis Baltas,,9786094751639
,Pagrandukas,2010,4770698491249
,Pasakėčios,,9789955733607
,Katinėlis ir gaidelis,2013,4770698491225
,"pusiau skusta, pusiau lupta",2003,4779017520981
,buratino nuotykiai,,4779017523036
,Ropė,,4779017522978
Birutė Tiknevičiūtė,Noriu būti,2009,9789955035695
Birutė Tiknevičiūtė,Obelėlės turtai,2015,9986941938
,Tautiška giesmė,2016,9786098142327
,lydekai paliepus,2008,9789955691747
,Nagirdėtos Anderseno pasakos,2002,9789955407362
,Saulės duktė,1974,
,Saliamono žiedas,1991,5899425733
,Siaurės Lietuvos pasakos,1974,733205
,Deivės lakšmės akmuo,1989,8120700007
,Močiutės pasakėlės,1998,9986941040
,Lapė ir liūtas,1986,4803020000022
,Trys geri meistrai,1991,4804000000109
Joel chandler harris,Dėdulės rimuso pasakos,2007,9789955244592
Antanas Siedrius,Sutemų šnekos,1985,4803010200071
,Bulgarų pasakos,1975,76326423875
,Gražiausios lietuvių pasakos,1996,9986432553
,Karlis skalbe pasakos,2007,9789955246558
,Gulbė,2012,9785415022656
Hans Christian Andersen,Dvylika iš pašto karietos,2015,9789955957225
Ernstas Teodoras Amadėjus Hofmanas,Spragtukas ir pelių karalius,2001,9986431093
,Nykštukų pasakos,1996,9986220629
Oskaras Milašius,Lietuiškos pasakos,1989,5790003192
,Haufo pasakos,1993,5790007279
,Šachrazados Pasakos,1988,5790000606
Antanas Vaičiulaitis,Pasakos,1989,5790000630
Eduardas Mieželaitis,Miško Pasaka,1981,4803010200
,Gražiausios brolių Grimų pasakos,2010,9789955407942
,Lietuviškos pasakos ,1977,708022189173
,Gyvasis Vanduo,1989,5790000614
,Pasaulio Pasakos,2002,9789955407508
,Armėnų Pasakos Ugnies žirgas,1971,
Wendy Thompon,Iliustuota Didžiųjų Kompozitorių Istorija,2022,9786094940088
Pholippe J. Dubois ir Elise Rousseau,Nepapasta Paukščių Gyvenimas,2021,9786094843983
,Sėkmės istorija: Mokinių vertinimas,2019,9789955788010
Lepė do,Pasaka apie smuikininką Raimundą,2020,9786098161410
Anna Casalis,Peliukas Lukas - Nenori eiti į darželį,2013,9786090112595
,"Rudelėli, Labas",1986,
Živilė Buinevičiūtė,Vidinis Lobis,2018,9786094752278
Giedrė Rakauskienė,Dramblys ir antis,2016,9786098161144
Giedrė Rakauskienė,Dramblys ir antis,2016,9786098161144
Lepė do,Pasaka apie užburtą žiedą,2020,9786098161519
Rasa Aškinytė,Beveik varlės,2009,9786094010293
Lina Žutautė,Kakė makė ir Pabėgusios ausys,2012,9786090102695
Rosita Makauskienė ir Inga Dagilė,Svajonių kalnas,2014,9786099560670
Jonas Vaiškūnas ir Daiva Vaiškūnienė,Žiūroniuko nuotykiai,2009,9789955811084
Justinas Marcinkevičius,Laukinė kriaušė,2012,9786090103784
Liuda Petkevičiūtė,Saulės Spalvų Porigės - Geltona 1 galis,2019,9786099558363
Vytautas V. Landsbergis,Kaip Zita išgelbėjo mamytę,2011,9789955811367
Aurelija Umbrasinė,Pražymęs Kaktusas,2015,9786099563558
Orianne Lallemand ir Eleonore Thuillier,Vilkas Keičia spalvą,2015,9786099565033
Evelina daciūtė ir Aušra kiudulaitė,Laimė yra lapė,,9786098142310
Stanislovas Abromavičius,Dešimt Ačiū,,4779017521681
,Miško Pasaka,1995,9986020638
,Snieguolė,1997,9986220769
Eduardas Miželaitis,Žalioji poliklinika,1989,5790002137
Pranas Mašiotas,Senelio Pasakos,1997,9986407680
Simon Tofield,Saimonas katinas ,2009,9789955477150
,Skęsta ar plaukia,2007,9799986229000
Marijus Marcinkevičius,Atvirkštukai,2018,9786098142440
Mervi lindman,Drąsioji Pupulė,2008,9789955683322
Viola Rohner ir Dorota Wunsch,Kaip senelis mokėsi plaukti,2013,9789955164272
Salomėja Pečiulytė,Noriu šunuko!,2014,9786099560656
Katja Reider ir Jutta Bucker,Ponas Jasperas ieško laimės,2005,9789955699033
,Nykštukų Kibirkščiukas ir miško žvėreliai,2012,9789955657477
,Trys Paršiukai ir daug kitų pasakėlių,1995,
Č. Torsonas,Kikas,2015,9789955389255
Astrid Lindgren ir Ilon Wikland,Lota moka važiuoti dviračiu,2012,9789955883272
Hens de Beer,"Kur keliauji, LaraI?",2014,9786094412516
,Mažasis Pabaisiukas sako Ne!,2014,9786099565019
,Šimtamylės Girios pasakos apie Mikę Pūkuotuką,2014,9799986227181
Martin Sodomka,Kaip sukonstruoti lėktuvą,2013,9786099578620
Karen Vanhercke,Ežeras Pilnas Žvaigždžių,2021,9786098136265
,Gražiausios miško žvėrelių istorijos,2002,9788086090771
Neringa Vaitkutė,Odilės pasaka,2025,9786098335392
"Wolf, Tony",Nykštukai,,9986020794
Becky Bloom Pascal Biet,Išsilavinęs vilkas,,9789955512639
"Landsbergis, Vytautas V.",Kaip Zitutė mišką tvarkė,2012,9789955811374
,Meduoliukas,,9799986223855
"Thomas, Valerie",Raganėlė Vinė,2013,9786094411656
Misstigri,Pasaulio princesės,2009,9789955407867
H. C. Andersen,Nauji karaliaus rabužiai,,9799986225316
"Buitkus, Raimondas",Raudonkepuraitė; Jonukas ir Grytutė,2011,9786099531120
,Katinėlis ir gaidelis; Pagrandukas,2013,9786099531137
"Petkevičiūtė, Liuda",Raudona poringė,,9786099558301
"Petkevičiūtė, Liuda",Raudona poringė,,9786099558301
Janosch,Panama Labai graži,1978,9789955428725
"Padimanskaitė, Vanda",Taškuota pasaka,2012,9786099546209
"Navakas, Kęstutis (1964–2020)",Kalbančio sūrio burtai,2015,9786094195709
"Valeikis, Rimas",Akvariumo istorijos. Lilė ir melo pinklės,2015,9786099567716
,Labanakt princesės,2014,9786094147043
Agata Kristi,Žmogžudystė Kale traukinyje,1990,
Bill Bryso,Kūnas. Vadovas po žmogaus organizmą,2020,9786094665103
"Leonarda Jakentaitė, Regina Sabaliauskaitė",Etika IX-X klasėms. Žmogus tarp žmonių,2002,998879795
"Liutauras Degėsys, Rasa Aškinytė",Etika 7-9 klasėms,2001,7986879477
Joe Jenkins,Šių laikų dorovinės problemos,1997,9986023149
"Andersen, Hans Christian (1805–1875)",Pasakos Hanso Christiano Anderseno,2012,9788377721421
"Marcinkevičius, Justinas (1930–2011)",Grybų karas,2009,9789955082248
"Marcinkevičius, Justinas (1930–2011)",Voro vestuvės,2023,9786090155851
"Zemkauskas, Rytis",Kaip šiltą vasaros naktį Žvėris kalbasi su virėju Vasiliausku apie laimę,2022,9786099626147
,"Rudenėlis, labas",,KVM251027025
"Rakauskienė, Giedrė",Dramblys ir antis,2016,9786098161144
"Wolf, Tony (1930–2018)",Nykštukai,1996,9986020794
"Pietaris, Vincas (1850–1902)",Lapės gyvenimas ir mirtis,1996,998659703x
,Didysis Nuotykis 2 dalis,,9986022282
"Holeinone, Peter",Trys paršiukai ir daug kitų pasakėlių,1995,9986021006
"Červokienė, Daiva",Boružės skrydis,2003,9986816254
"Wolf, Tony (1930–2018)",Milžinai,1995,9986020999
,Didysis Nuotykis 1 dalis,,9986022274
"Pečiulytė, Salomėja",Noriu šuniuko!!!,2014,9786099560656
"Makauskienė, Rosita",Svajonių kalnas,2014,9786099560670
Lapė Do,Pasaka apie užburtą žiedą,2021,9786098161519
"Rakauskienė, Giedrė",Dramblys ir antis,2016,9786098161144
"Rakauskienė, Giedrė",Dramblys ir antis,2016,9786098161144
Lapė Do,Pasaka apie smuikininką Raimundą,2020,9786098161410
"Makauskienė, Rosita",Svajonių kalnas,2014,9786099560670
,Trys geri meistrai,1991,5790004717
,Saliamono žiedas,1991,5899425733
,Močiutės pasakėlės,1998,9986941040
,Gulbė karaliaus pati,2012,9785415022656
,Gražiausios lietuvių pasakos,2009,9986432553
,Gulbė karaliaus pati,2012,9785415022656
Walt disney,Mini Maus ir ančiukas,1991,KVM251027028
,Gražiausios lietuvių pasakos,2009,9986432553
"Mašiotas, Pranas (1863–1940)",Senelio pasakos,1998,9986407680
,Deivės Lakšmės akmuo,1989,579000296x
"Mieželaitis, Eduardas (1919–1997)",Žalioji poliklinika,1989,5790002137
,Snieguolė,1997,9986220769
,Gyvasis vanduo,1990,5790000614
"Vaičiulaitis, Antanas (1906–1992)",Pasakos,1989,5790000630
"Holeinone, Peter",Guliverio nuotykiai ir daug kitų pasakėlių,1995,9986020638
"Talkington, Bruce (1949–2000)",Nykštukų pasakos,1996,9986220629
"Milosz, Oscar (1877–1939)",Lietuviškos pasakos,1989,5790003192
"Hauff, Wilhelm (1802–1827)",Pasakos,1993,5790007279
,Šachrazados pasakos,1988,5790000606
"Hoffmann, Ernst Theodor Amadeus (1776–1822)",Spragtukas ir Pelių Karalius,1995,9986431093
,Paryžiaus katedros kuprius,1996,9986220653
,Mikė Pūkuotukas,2008,9789955691662
"Baumilienė, Onutė",Kalbos vartojimas,2025,9785430075590
,,,9786094942327
,,,9786094942327
,,,9786094942327
,,,9786094942327
,,,9786094942327
,,,9786094942327
,,,9786094942327
,,,9786094942327
,,,9786094942327
,,,9786094942327
Tony Wolf,Karalaitės Gražiausios Pasakos,2004,9789955085089
,Norėčiau būti… vaiduokliu!,2006,4771558402498
"Kasparavičius, Kęstutis",Meškelionė,2010,9789955234104
"Davies, Benji",Senelio sala,,9786098214499
Rasa Dmuchovskienė,Skruzdėliukas Nežiniukas 2 Knyga,,9786090601211
"Gaižauskaitė, Zita",Miško ABC,2012,9786094000409
,Paukščių abėcėlė,1998,9986811694
,Vasaros Linksmybės,2007,9799986228645
"Markevičius, Dominykas",Ančiukas ir Ech,2022,9786098161601
"Mašiotas, Pranas (1863–1940)",Paliegusi obelis,2014,9786099560632
,Mauglis,1998,9986796342
,Bitė Maja. Karalienės pasiuntinys,2014,9786094147265
"Stirbytė-Valaikienė, Marta (1942–2017)",Margiuko Pūkučio užrašai,2007,9789955749097
"Mašiotas, Pranas (1863–1940)",Kiškis Drąsuolis,2014,9786099560618
,Mato Nuotykiai Kariuomenėja 2 Dalis,,9789955223160
"Ogenskienė, Ina",Sagutė,2022,9786098161656
"Malčius, Virginijus",Do Do ūsai,2016,9786098161106
"Zykutė, Jolita",Spyglys. Mėlyna dėžutė,2022,9786098161564
"Žutautė, Lina",Kakė Makė ir svajonių gimtadienis,2020,9786090115749
"Žutautė, Lina",Kakė Makė ir pavogtas laikas,2015,9786090120217
"Jovaišaitė-Blaževičienė, Indrė","Pasakojimas mažiesiems apie seniausius mūsų žaislus, arba Kaip piratas Algiukas lobio ieškojo",2013,9786099550701
"Sereikaitė, Jolanta",Katytės Tikės miškas,2022,9786098161632
,Miegančioji gražuolė ir kitos pasakos,2006,9789986004837
,Trys ožiukai,1999,9799986223879
,Eglė žalčių karalienė,1995,9986432413
"Adomaitytė, Gintarė",Vėjų miesto pasakos,2016,9786098161069
"Lucado, Max",Tu esi ypatingas,2019,9786099512419
,Eglė žalčių karalienė,1995,9986020018
,Bembis ir Miško Karalius,2006,9799986227808
Gilbert Delahaye – Marcel Marlier,Elenytė ir landusis šeškas,,9789955061434
,Dangus griūva,2009,9786098033076
,Negirdėta neregėta pasaka,1997,9986811430
,Zuikelis drąsuolis,2009,9789955390671
,"Dvylika brolių, juodvarniais lakstančių",2009,9789955691839
,Lapė gudragalvė,1998,9986811767
,Užburta karalystė,1998,998681183x
,"Grybai, grybai, baravykai...",1996,998640889x
"Tatarė, Antanas (1805–1889)",Žiogas ir skruzdėlė,1996,9986408865
,Feliksas Laisvėja,,9788880702887
"Vaičiulienė, Aldona",Miško augalai,1998,5430024600
,Vargšas ir besotis,1996,9986408784
,Šimto zuikių piemuo,1998,9986811783
,Aukso nevalgysi,1997,9986811392
Janosch,Trumpas mokslas apie žvėris,1999,5790009123
,Lapė karalienė,1999 i.e. 1998,9986898099
,Vištytė ir gaidelis,2001,9986872685
,Rikiki ir pamestas raktas,,9789955082224
,Rikiki ir atkaklus šuniukas,,9789986028376
,Rikiki skalbia,,9789986028383
,Rikiki laiškanešys,,9789986028390
,Trys paršiukai,,9789955527633
,Kaip dangus griuvo,2011,9789955733591
"Kavaliauskaitė, Vaida","Istorijos apie meilę, stebuklus ir ilgesį",2013,9786099539614
,Vilkas ir ožiukai,2014,9786094190490
"Grimm, Jacob (1785–1863)",Pelenė,2014,9786094562068
"Havukainen, Aino",Keistieji Tato ir Pato išradimai,2013,9786094411588
,"Vėjo teismas; Kiškio lūpos; Lapė, strazdelis ir varna",2007,9785430048495
"Marcinkevičius, Justinas (1930–2011)",Mano knygelės,2008,9785430048969
"Inis, Laimonas",Čiulbantis medis,2007,9789955691631
"Laucius, Jeronimas",Tavo sėkmės kelias,2017,9786094310119
Bronė Buivydaitė,Grybautojas,,4771558401033
,Sparnai,2013,9786094145834
,Batuotas katinas,2017,9786094197574
"Grimm, Wilhelm (1786–1859)",Erškėtrožė,2011,9786090102169
"Petkevičiūtė, Liuda",Vištelė Put Pututė,2013,9786099558318
"Baker, Liza",Bembis,2012,9786094143762
,Gyvūnai,2016,9786090122266
,Ožka melagė,2014,9786098115062
,Aukso Paukštis,,4771558402184
,Kiškio lūpos,2014,9786094194238
,Vištytė ir gaidelis,2017,9786094240904
,Dangus griūva,2009,9786098033076
"Landsbergis, Vytautas V.",Žuveliukas; Undinas,2012,9789955811466
Vytautas V.Landsbergis,Tinginių Pasakos,,9789955683063
,Vilkas ir septyni ožiukai,2010,9789955132523
,Čipolino nuotykiai,2009,9789955390657
,Čipolino nuotykiai,2009,9789955390657
,Pelenė; Princas ir elgeta,,9788377721902
,Katinėlis ir gaidelis,2006,4779017522596
,Katinėlis ir gaidelis,2008,9789955390381
,Barono Miunhauzeno nuotykiai,2010,9786098033243
,Karalaitė gulbė,2010,9786098033311
,Ežys ir ponia,2006,4771558401026
,Ežys ir kiškis,2002,4779017520387
,Mikė Pūkuotukas,2008,9789955691662
"Webb, Holly",Paslėpta katytė,2016,9786090123492
"Gaižauskaitė, Zita",Varliukas keliauninkas,2006,9955532629
,Jaučio trobelė,1997,9986270510
,Katinėlis ir gaidelis,1999,5-7900-0789-9
"Petkevičiūtė, Liuda",Cipcipukas Keberiokštas,2022,9786099558387
"Petkevičiūtė, Liuda",Kriuksis draugnoris,2018,9786099558349
"Petkevičiūtė, Liuda",Voveriukas Tindiriukas,2015,9786099558325
"Petkevičiūtė, Liuda",Rainis Atbulainis,2025,9786099558394
,Baronas Miunhauzenas medžioja,1997,9986811309
,Mano gerieji draugai,1998,9986811732
,Ali Baba ir 40 plėšikų. Alavinis kareivėlis,1999,995540700x
,Aladinas ir stebuklingoji lempa; Vilkas ir septyni ožiukai; Joniukas ir Grytutė,c1997,998643274x
"Petkevičiūtė, Liuda",Viščiukas Pūkas,2017,9786099558332
Vytė Nemunėlis (1907–2002),Meškiukas Rudnosiukas,2005,9986290430
"Marcinkevičius, Marius",Voro koja,2016,9786098161182
,,,
,Pasaka apie žvejį ir auksinę žuvelę,1999?,9955020040
,,,
,,,
Justinas Marcinkevičius,Laukinė kriaušė,2014,9786090103784
"Webb, Holly",Dingęs šunelis Maksas,2017,9786090126912
"Webb, Holly",Dingęs kačiukas,2019,9786090136089
,Žemė,2025,9786094418280
"Webb, Holly",Įstrigusi šunytė,2024,9786090159194
"Kinney, Jeff.","Nevykėlio dienoraštis, Kn. 8 Ir vėl nesiseka",2014,9789955226925
"Kinney, Jeff.","Nevykėlio dienoraštis, Kn. 9 Ilga kelionė",2015,9789955227458
"Stilton, Geronimo",Metro šmėkla,2013,9789955236641
"Stilton, Geronimo",Smaragdo akies paslaptis,2013,9789955236788
Jules Verne,Kapitono Granto vaikai,2007,
L.Frank Baum,Nuostabusis Ozo šalies burtininkas,2023,9786094411786
"M.L.Cage, B.C.Berlines",Pedagoginė psichologija,,
Gra Kleinas,Tindis Rindis - šaunieji žodžių ieškotojai,2024,9789986316640
,Teorija ir užduotys Kalbos vartojimas III gimnazijos,2024,9785430074173
,Teorija ir užduotys Kalbos vartojimas IV gimnazijos,2024,9785430075590
Rimantas Krupickas ir Česlovas kudaba,Lietuvos žemė,2000,5430025607
Vykintas Vaitkevičius Valentinas Baltrūnas,Lietuva 101 įdomiausia vieta,2008,9789955381570
Šviesa,Literatūros vadovėlis 11 kl 2 dalis,2024,9785430074197
Šviesa,Literatūros vadovėlis 12 kl. 1 dalis,2025,9785430075620
,Ugdymo menas. Metodika ir didaktika,,
Sven Nordqvist,Kur dingo Petsonas?,2021,
Sven Nordqvist,Petsonas ir Findusas konstruoja mašiną,2022,
Sven Nordqvist,"O ką tu moki, Petsonai?",2021,
Sven Nordqvist,Petsonas stovyklauja,2024,
Selemonas Paltanavičius,Šuniuko metai kaime,2021,
Selemonas Paltanavičius,Kiekvienam savas kąsnis,2022,
Selemonas Paltanavičius,Gandriuko metai,2019,
"Radka Janska, Carmen Saldana",Kieno čia pėdsakai?,2020,
Wolfgang Metzger,Mano transporto knyga,2022,
Autorius,Pavadinimas,Metai,Kodas
Autorius,Pavadinimas,Metai,Kodas
Autorius,Pavadinimas,Metai,Kodas
Autorius,Pavadinimas,Metai,Kodas
Kristijonas Donelaitis,Metai,2021,9786094842818
,Senovės Lietuvių religija ir mitiniai vaizdiniai,,
,Kai dar amžina ugnis ruseno,,
,Senovės lietuvių mitologija ir religija,,
,"Pasakos, sakmės, oracijos",,
,Filosofijos istorijos chrestomatija Antika,,
,Filosofinės etikos chrestomatija 11-12 kl.,,
,Lietuvių literatūros skaitinoai II dalis XI klasei,,
,Lietuvių poezija mokyklai,,
,Pamaitinkime vaiko sielą,,
,Jack and the beenstalk,,
,Lečenije…,,
,Čelovek į žvezda,,
Ričardas Elijošius Nakviša,Vienuolis ir pagonė,2023,
Milanas Kundera,Nepakeliama būties lengvybė,1993,
,Pasirenkite VBE,,
,Lytinė branda ir jos krizės,,
Matijus Vairas,Lytinis auklėjimas,,
Vincas Mykolaitis Putinas,Altorių šešėly,2023,
Antonis Berdžesas,Šekspyras,1990,
Anders Hansen,ADHD diagnozė ar supergalia?,2024,9786094874772
,Matematikos pratybos 7 kl. (1 ir 2 d),,
,Vadovėlis 8 kl. matematika 1 dalis (4 nr),,
George Orwell,Gyvulių ūkis,2023,
,Viduramžių riterių romanai,,
,Mitai ir legendos. Norvegai,,
,Europos kultūros istorija I ir II,,
,Filosofinės etikos chrestomatija,,
Deilas Karnegis,Kaip įsigyti draugų ir ir daryti įtaką žmonėms,,
J.V.Getė ,Faustas,2018,
,Matematika patikrinamieji darbai 2 kl.,,
,"Matematika, pratybų sąsiuviniai 2 klsei Nr. 1,2,3",,
,"Matematikos vadovėlis 2 klasei, dalys 1,2,3",,
,Biologijos pratybos 9( 1 ir 2 dalis)-10 kl. (1 dalis),,
,Etiudai apie matematikus,,
Ilona Ežerinytė,Dabar Marselis,2022,
,"Lietuvių padavimai, legendos ir sakmės",,
,Istorija (6 knygos    58 psl.),,
Ilona Ežerinytė,Skiriama Rivai,2024,
,"Lietuvių k. 8 klasei 1,2 dalis",,
,"Literatūra 8 klasei 1,2 dalis",,
,Žarnyno žavumynai,,
,Caravaggio,,
Ernst Kunzl,Senovės Roma,2005,
Charles Kovacs,Senovės Graikija,2023,
Floberas,Ponia Bovari,1963,
Knutas Hamsungas,Viktorija,,
,Hejerdalas,,
,Mitologijos enciklopedija,,
Roland Mueller,Marko Polo kelionės nuotykiai,2008,
,Lietuvių k. vadovėlis  4 kl. TAIP 3 dalis,,
,"Matematikos vadovėlis TAIP 4 klasei 1,2,3 dalys",,
,"Lietuvių kalbos ir literatūros vadovėlis TAIP  4 klasei 1,2,3 dalys",,
R.Skučaitė,Laiškas sekmadieniui,,
R.Skučaitė,Pelėda žino,,
J.Degutytė,Piemenaitė karalaitė,,
Janina Degutytė,Baltas gulbių sostas,1984,
,Vaikų kambarys,,
,Septintasis mėnulis,,
Joseph  Campbell,Deivės. Dieviškojo moteriškumo paslaptys,2024,
Marko Perko ir Stephen M. Stanhl,Tesla. Nuostabus ir neramus jo gyvenimas,2023,
,"Matematikos vadovėlis 9 kl (naujas) 1 dalis(39), 2 dalis (14)",,
,"Matematikos vadovėlis 8 kl (naujas) 1 dalis(26), 2 dalis (1)",,
,Poetinė Eda,,
,Senovinis kalendorius,,
Vydūnas,Kaip tapti saulėtu žmogumi,2022,
,Menu mįslę keturgyslę,,
L.Klimka,Liet. Tradicijų skrynelė,,
,Išminčiaus pasakojimai,,
,Išmintis. Tikrovė. Iliuzija,,
Eugenija Šimkūnaitė,Girių medeliai žali žaluonėliai,,
Aldona Griškevičienė,Medžio vardas,,
,Vaikai vaistažolių pasaulyje,,
,Kaip gydo medžiai,,
J.D.Salinger,Rugiuose prie bedugnės,2022,
Selemonas Paltanavičius,Mano raudonoji knyga,,
,Vaikų atlasas,,9985200748
Zbignievas Kuchovičius,Barbora Radvilaitė,1991,
Mikalojus Kristupas Radvila Našlaitėlis,Kelionė į Jeruzalę,1990,
Eugenijus Laurinaitis,Žuvis vandenyje,2024,
,Matematika tau + 11 kl. 1 dalys A ir B kursams,,
,Bitas 9 kl informatika,,
,Mokytojas,,
,Geologija ir astronomija,,
,Pažink pasaulį. Mokinio enciklopedija,,
,Pasaulio istorija nuo senovės iki dabarties,,
,Geografas R.Baubinas,,
Frances Hodgson Burnett,Paslaptingas sodas,2019,
,Lietuvių kalbos patikrinamieji testai 9 ir 10 kl. ,,
,Biologijos vadovėlis 7 kl. Horizontai,2023,
Rasa Rugelienė,Matematikos testai 4 kl.,2020,
Jonas Ambrukaitis,Lietuvių kalbos užduotys 3-4 klasėms 1 dalis,2023,
Jonas Ambrukaitis,Lietuvių kalbos užduotys 3-4 klasėms 2 dalis,2023,
Jonas Ambrukaitis,Lietuvių kalbos užduotys 3-4 klasėms 3 dalis,2023,
Jonas Ambrukaitis,Lietuvių kalbos užduotys 3-4 klasėms 4 dalis,2023,
Ernst Kunzl,Senovės Roma,2005,
Justinas Marcinkevičius,Eilėraščiai. Mažosios poemos,1975,
J.Degutytė,Mėlynos deltos,,
Balys Sruoga,Dievų miškas,,
Violeta Palčinskaitė,Senamiesčio lėlės,1987,
Ramutė Skučaitė,Jei nereikėtų skubėti,2009,
,Geografija 9 kl. naujas Šviesa ,2023,
,Geografija 9 kl. naujas 1 ir 2 dalis Briedis,2023,
,Ekonomika 11-12 kl.  ,2023,
Peter Mayle,Metai Provanse,2015,
Arianna Warsaw-Fan Rauch,Išslaptinta klasika. Kelionė po klasikinės muzikos pasaulį,2023,
,Metų knygelė,,
Sven Nordqvist,Kalėdų senelio staigmena (Findusas),2011,
Vaidotas Mockus,Pati naujausioji matematikos atmintinė moksleiviams,2021,
Astrida Lindgren,Emilis iš Lionebergos,2011,
,"Vaiko link 2002, 2008,2007 nr 5, 2010 nr. 8, 2008 nr. 7, Tegul vaikai auga neskubėdami, Lytinis auklėjimas, Ritminis masažas,  Vaiko ugdymas, Adaži Valdorfa skola, Žmogaus slėpiniai ir pedagogika, Ankstyvosios vaikystės pedagogika,, Valdorfo pedagogika, Žmogiškosios esybės vystymasis",,
Francesca Simon,Blogiuko Henrio vaiduoklynas,2008,
Jeff Kinney,Nevykėlio dienoraštis 3. Paskutinis lašas,2010,
Jurgis Kunčinas ,Tūla,2023,
Jeff Kinney,Nevykėlio dienoraštis 14. Grėsmingas kamuolys,2020,9786094830693
Sven Nordqvist,"Kaip Findusas, būdamas mažas, ėmė ir prapuolė",2024,
"David Roberts, Alan Mac Donald",Nevala Bertis. Bučkis!,2017,
Astrid Lindgren,Ronja plėšiko duktė,,
Pamela Butchart,"Gelbėkit, mus puola vilkolakis",2020,
Astrida Lindgren,Broliai Liūtaširdžiai,,
Antony Mccarten,Superherojaus mirtis,2021,
"Zykutė, Jolita",Spyglys. Mėlyna dėžutė,2022,9786098161564
"Zykutė, Jolita",Spyglys. Mėlyna dėžutė,2022,9786098161564
"Malčius, Virginijus",Do Do ūsai,2016,9786098161106
"Malčius, Virginijus",Do Do ūsai,2016,9786098161106
"Malčius, Virginijus",Do Do ūsai,2016,9786098161106
"Malčius, Virginijus",Do Do ūsai,2016,9786098161106
"Ogenskienė, Ina",Sagutė,2022,9786098161656
"Ogenskienė, Ina",Sagutė,2022,9786098161656
"Ogenskienė, Ina",Sagutė,2022,9786098161656
"Ogenskienė, Ina",Sagutė,2022,9786098161656
,Gulbė karaliaus pati,2012,9785415022656
,Močiutės pasakėlės,1998,9986941040
,Saliamono žiedas,1991,5899425733
,Trys geri meistrai,1991,5-7900-0471-7
"Makauskienė, Rosita",Svajonių kalnas,2014,9786099560670
Lapė Do,Pasaka apie smuikininką Raimundą,2020,9786098161410
"Rakauskienė, Giedrė",Dramblys ir antis,2016,9786098161144
"Rakauskienė, Giedrė",Dramblys ir antis,2016,9786098161144
"Rakauskienė, Giedrė",Dramblys ir antis,2016,9786098161144
Lapė Do,Pasaka apie užburtą žiedą,,9786094161519
"Makauskienė, Rosita",Svajonių kalnas,2014,9786099560670
"Pečiulytė, Salomėja",Noriu šuniuko!!!,2014,9786099560656
,,,
,,,
